step,time_s,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,roll,pitch,lon_flap,lat_flap,pos_err_y,norm_state_0,norm_state_1,norm_state_2,norm_state_3,norm_state_4,norm_state_5,norm_state_6,norm_state_7,norm_state_8,norm_state_9,norm_state_10,collective,lateral_cyclic,longitudinal_cyclic,tail_rotor_cyclic
49,0.8333332,0.010493266,0.15915987,0.4321054,0.06221861,-0.018782288,0.006431535,-0.0059229066,0.00280964,0.0028103201,0.0034986977,0.069280796,0.010492881,0.1578294,0.4070793,0.123798884,-0.037546918,0.01286236,-0.00987119,0.0046826988,0.005620581,0.006997281,0.06917016,-0.8103862,-0.019094508,-0.029160902,-0.596884
50,0.84999985,0.011504258,0.00282138,0.43519992,0.06464826,-0.008502883,0.0058739325,-0.0058255037,0.0038862773,0.0004352571,0.00028365268,0.06929851,0.01150375,0.0028213726,0.40965778,0.12858081,-0.017004127,0.011747325,-0.009708867,0.006477038,0.00087051396,0.0005673053,0.0691878,0.9914409,-0.2559366,-0.09385354,0.87681895
51,0.8666665,0.012161357,-0.13729627,0.44746286,0.06484524,0.036375538,0.0057875714,-0.0057263863,0.0049705305,-0.004736917,-0.014882276,0.06697208,0.012160758,-0.13644004,0.41981125,0.12896822,0.072623,0.011574626,-0.009543687,0.008284028,-0.009473551,-0.029755766,0.06687213,0.99998635,0.0910319,-0.019138264,0.99955314
52,0.88333315,0.014001565,-0.061513696,0.4350286,0.05451033,0.030200718,0.0067274356,-0.005611559,0.005881886,-0.0041911304,-0.0061617633,0.065902926,0.0140006505,-0.061436225,0.4095152,0.10859078,0.06032809,0.013454059,-0.0093523245,0.0098028295,-0.008382064,-0.012322903,0.065807685,0.9994628,0.2733352,0.021261973,0.99625844
53,0.8999998,0.015816648,0.015248487,0.4182358,0.05023132,0.015512898,0.0075590084,-0.0054839766,0.006720505,-0.0015926545,0.009874619,0.06610877,0.015815329,0.015247305,0.39544314,0.10012601,0.031015843,0.015116865,-0.009139706,0.011200373,-0.0031852983,0.01974667,0.066012636,0.97576666,-0.08511644,0.01313292,0.96047884
54,0.91666645,0.017099211,0.09197672,0.39772087,0.057088695,0.001040875,0.007875011,-0.0053526396,0.0076720724,-0.00024549314,0.0011825161,0.06758927,0.017097544,0.09171823,0.37799716,0.113683805,0.002081747,0.01574872,-0.008920829,0.01278609,-0.0004909862,0.0023650278,0.06748653,0.23377585,0.23685436,0.04428903,0.5318558
55,0.9333331,0.018128632,0.16585377,0.38005966,0.057909887,-0.011863194,0.00792372,-0.0052222316,0.008636186,0.0023853418,0.012800789,0.07029708,0.018126646,0.16434957,0.36275926,0.115304664,-0.023721937,0.015846115,-0.008703499,0.014392649,0.0047706473,0.025595987,0.07018151,-0.93946403,-0.10722242,0.022107694,-0.40470544
56,0.94999975,0.018785473,0.15083246,0.36917436,0.06679932,-0.022420885,0.0074504386,-0.005101545,0.009747572,0.0029731109,0.0018234951,0.07274923,0.018783264,0.14969894,0.35326934,0.13280943,-0.044811737,0.014899774,-0.00850237,0.016244525,0.005946152,0.0036469742,0.07262116,-0.88655263,0.02057084,-0.02136272,-0.5666195
57,0.9666664,0.0195513,-0.0048072585,0.378544,0.068065636,0.0071705836,0.0068605347,-0.0049860287,0.010882595,0.0009900823,0.0012441934,0.07259883,0.01954881,-0.0048072212,0.36144236,0.13529654,0.014340184,0.013720208,-0.008309856,0.018135667,0.001980162,0.0024883817,0.07247155,0.9830014,-0.33950573,-0.096025534,0.9695485
58,0.98333305,0.020015761,-0.15408246,0.3913948,0.06892967,0.048954766,0.0066640903,-0.0048656757,0.012035438,-0.0044596465,-0.018860165,0.06995087,0.020013088,-0.15287456,0.37256205,0.13699259,0.09759787,0.013327392,-0.008109281,0.020056373,-0.0089190565,-0.03770245,0.069837004,0.99998385,0.13348772,-0.0042113415,0.9998883
59,0.9999997,0.02163482,-0.07934591,0.37928545,0.055832326,0.03570553,0.007548942,-0.0047324747,0.012968823,-0.003170499,-0.0065967925,0.06854488,0.021631446,-0.079179816,0.36208677,0.11120284,0.07128992,0.015096737,-0.007887294,0.021611338,-0.006340913,-0.013192819,0.06843773,0.99942553,0.26601583,0.01985593,0.9986245
60,1.0166664,0.023040172,-0.0026145051,0.363767,0.051251233,0.020993352,0.00817801,-0.0045915414,0.013824632,-0.000957547,0.009158259,0.06841573,0.023036096,-0.002614499,0.3485278,0.10214498,0.04196205,0.01635456,-0.007652419,0.023036975,-0.0019150916,0.01831447,0.06830919,0.97358096,-0.08062915,0.021217976,0.9849987
61,1.0333331,0.023993399,0.074071735,0.34455717,0.05761113,0.0063484902,0.0083679985,-0.004450623,0.014785289,0.0006415113,0.00092671067,0.06956343,0.023988796,0.07393657,0.33153975,0.11471505,0.012696298,0.016734434,-0.0074175685,0.02463716,0.0012830219,0.0018534192,0.069451444,0.18334387,0.23390102,0.04834858,0.7798991
62,1.0499997,0.024634752,0.14764938,0.32766375,0.058254674,-0.008423946,0.008240715,-0.0043154876,0.015755575,0.0032224471,0.012457665,0.071936116,0.02462977,0.14658572,0.31642,0.11598501,-0.016846297,0.016479937,-0.007192355,0.026253257,0.006444805,0.024910176,0.07181229,-0.94482917,-0.11301787,0.027327169,-0.056985505
