index,episode_time,steps,noise,episode_reward,avg_critic_loss,avg_actor_loss,evaluation
2550,30.033218,901,0,438.86896,0,0,1
2551,17.400078,522,0.001,283.074,1.8931329,25.78713,0
2552,15.566761,467,0.001,280.94595,1.9030646,25.513386,0
2553,9.433346,283,0.001,116.15983,2.1194572,25.623144,0
2554,9.766684,293,0.001,168.36565,1.8918562,25.666359,0
2555,26.566605,797,0.001,369.40613,1.8429837,25.45638,0
2556,18.000069,540,0.001,197.2701,1.9136925,25.796997,0
2557,17.566742,527,0.001,230.05782,1.7701656,25.488298,0
2558,12.133382,364,0.001,223.42404,1.9373548,25.547985,0
2559,15.400092,462,0.001,174.8059,2.1480374,25.165941,0
2560,18.066734,542,0.001,239.84984,1.8590807,25.361816,0
2561,13.00006,390,0.001,185.93048,2.0235012,25.33514,0
2562,10.233356,307,0.001,144.23964,1.7665445,25.376865,0
2563,20.333366,610,0.001,268.20428,1.8372157,25.674128,0
2564,13.800071,414,0.001,207.26598,1.9239244,25.666416,0
2565,14.600081,438,0.001,217.34822,1.9924016,24.883934,0
2566,15.066754,452,0.001,232.91669,2.064943,25.529705,0
2567,11.866712,356,0.001,147.59312,1.7404919,25.286797,0
2568,21.90001,657,0.001,240.56764,1.7693917,25.177341,0
2569,17.233414,517,0.001,264.20184,1.9887965,25.328283,0
2570,13.00006,390,0.001,184.75702,1.8107995,25.493353,0
2571,10.5333605,316,0.001,158.7864,2.0305688,25.694181,0
2572,10.300024,309,0.001,139.46375,1.948214,25.304089,0
2573,10.600028,318,0.001,113.95087,1.8888962,25.78422,0
2574,21.033356,631,0.001,277.4018,1.7594731,25.556456,0
2575,14.066741,422,0,212.41736,0,0,1
2576,12.533387,376,0.001,188.39464,1.8282353,26.029282,0
2577,19.933372,598,0.001,326.16043,1.7547287,26.07556,0
2578,22.466667,674,0.001,327.5771,1.9875404,26.013487,0
2579,24.49997,735,0.001,406.11646,1.8119006,26.422985,0
2580,20.666695,620,0.001,332.9339,1.7876611,26.821917,0
2581,16.033432,481,0.001,262.07755,1.6757823,27.163692,0
2582,30.033218,901,0.001,555.86115,1.803969,26.870316,0
2583,20.300034,609,0.001,365.46896,1.8051057,27.49569,0
2584,30.033218,901,0.001,571.7179,1.7634245,28.221212,0
2585,22.233337,667,0.001,390.95416,1.7394894,28.44246,0
2586,23.699982,711,0.001,397.79892,1.6610756,28.560003,0
2587,30.033218,901,0.001,578.6653,1.6027606,29.224844,0
2588,30.033218,901,0.001,581.3614,1.6054969,29.795904,0
2589,30.033218,901,0.001,622.0704,1.6942731,30.5866,0
2590,30.033218,901,0.001,539.5971,1.6536263,30.838366,0
2591,30.033218,901,0.001,543.0514,1.6660656,31.678207,0
2592,10.400025,312,0.001,97.83067,1.6859534,31.644663,0
2593,30.033218,901,0.001,525.3032,1.6291909,32.038357,0
2594,30.033218,901,0.001,617.8681,1.5717452,32.27629,0
2595,30.033218,901,0.001,550.39,1.6515558,32.62317,0
2596,30.033218,901,0.001,572.1147,1.5085713,33.155685,0
2597,1.8999995,57,0.001,14.938427,1.3764021,33.36804,0
2598,30.033218,901,0.001,547.2928,1.5564249,33.43079,0
2599,30.033218,901,0.001,386.52902,1.4934111,33.75722,0
2600,30.033218,901,0,423.27792,0,0,1
2601,30.033218,901,0.001,514.511,1.5959775,33.642117,0
2602,30.033218,901,0.001,451.7311,1.5740546,33.8364,0
2603,30.033218,901,0.001,591.036,1.5469935,33.82614,0
2604,30.033218,901,0.001,555.54803,1.5739874,33.787117,0
2605,30.033218,901,0.001,533.2434,1.5494542,34.258354,0
2606,30.033218,901,0.001,564.6096,1.6098065,34.164608,0
2607,30.033218,901,0.001,537.6413,1.536822,34.223133,0
2608,30.033218,901,0.001,575.0318,1.5303135,34.458366,0
2609,30.033218,901,0.001,537.4744,1.5078149,34.65981,0
2610,18.36673,551,0.001,285.53003,1.5466245,34.42483,0
2611,13.066728,392,0.001,212.8431,1.5076426,34.033344,0
2612,29.999886,900,0.001,494.0197,1.5027574,34.673992,0
2613,23.699982,711,0.001,372.61047,1.4984748,34.801586,0
2614,30.033218,901,0.001,553.4314,1.5575255,34.42345,0
2615,20.533363,616,0.001,346.0379,1.5217777,34.61728,0
2616,22.96666,689,0.001,351.71497,1.4817358,34.71123,0
2617,30.033218,901,0.001,578.9345,1.4662749,34.460373,0
2618,30.033218,901,0.001,629.924,1.5172807,34.599274,0
2619,30.033218,901,0.001,650.8849,1.4965667,34.834682,0
2620,30.033218,901,0.001,527.94495,1.402707,35.063946,0
2621,30.033218,901,0.001,578.8175,1.3753337,35.384365,0
2622,30.033218,901,0.001,476.48468,1.3728945,35.43887,0
2623,30.033218,901,0.001,479.7283,1.3344915,35.69777,0
2624,30.033218,901,0.001,533.8272,1.3487186,35.687904,0
2625,30.033218,901,0,501.81332,0,0,1
2626,30.033218,901,0.001,595.5112,1.2970331,35.979393,0
2627,30.033218,901,0.001,553.0944,1.3037156,36.1974,0
2628,30.033218,901,0.001,477.31094,1.2212261,36.153885,0
2629,24.799965,744,0.001,424.71088,1.1837803,36.344345,0
2630,21.90001,657,0.001,355.1669,1.1736147,36.235172,0
2631,22.699997,681,0.001,404.18018,1.2070912,36.394936,0
2632,30.033218,901,0.001,628.31384,1.250169,36.517693,0
2633,30.033218,901,0.001,609.5043,1.1613429,36.440426,0
2634,25.09996,753,0.001,407.20233,1.1894016,36.776836,0
2635,30.033218,901,0.001,582.22974,1.1402135,36.61425,0
2636,30.033218,901,0.001,701.69055,1.1438699,37.017628,0
2637,30.033218,901,0.001,591.1521,1.0372479,37.123665,0
2638,30.033218,901,0.001,735.70337,1.0270828,37.10811,0
2639,30.033218,901,0.001,703.8172,0.98694086,37.849354,0
2640,30.033218,901,0.001,750.1904,1.0404782,38.32801,0
2641,30.033218,901,0.001,745.0887,1.0157374,38.54547,0
2642,30.033218,901,0.001,691.01074,0.95514816,38.897552,0
2643,16.633423,499,0.001,176.0723,0.93217236,39.16302,0
2644,24.49997,735,0.001,498.2843,0.9683953,39.505108,0
2645,26.966599,809,0.001,536.934,0.92799246,39.74403,0
2646,30.033218,901,0.001,633.88947,0.8968234,40.235672,0
2647,29.599892,888,0.001,579.6235,0.91371363,40.480038,0
2648,20.533363,616,0.001,371.66458,0.891779,40.430336,0
2649,21.300018,639,0.001,381.26807,0.9280116,40.71342,0
2650,19.566711,587,0,390.65997,0,0,1
2651,22.666664,680,0.001,412.3051,0.87671626,40.89771,0
2652,26.599937,798,0.001,493.9618,0.90276784,41.166134,0
2653,12.800057,384,0.001,208.73918,0.95327467,41.3184,0
2654,11.800044,354,0.001,175.4193,0.9119961,41.38016,0
2655,9.933352,298,0.001,133.94995,1.0772178,41.056404,0
2656,10.366692,311,0.001,161.42308,0.97822374,41.216267,0
